"sto","y.1","y.2","y.3","y.4"
4203,TRUE,TRUE,NA,NA
4358,TRUE,TRUE,NA,NA
4681,TRUE,FALSE,NA,NA
4849,TRUE,TRUE,NA,NA
1281,TRUE,TRUE,TRUE,TRUE
1394,TRUE,TRUE,TRUE,TRUE
1772,TRUE,TRUE,TRUE,TRUE
4244,FALSE,TRUE,FALSE,FALSE
4398,FALSE,TRUE,FALSE,TRUE
4721,TRUE,TRUE,TRUE,TRUE
412,FALSE,TRUE,FALSE,NA
552,TRUE,TRUE,TRUE,NA
770,FALSE,FALSE,FALSE,NA
846,FALSE,FALSE,FALSE,NA
2388,TRUE,TRUE,FALSE,FALSE
2666,TRUE,FALSE,FALSE,FALSE
3425,FALSE,TRUE,FALSE,FALSE
3431,TRUE,FALSE,FALSE,FALSE
2555,TRUE,TRUE,TRUE,TRUE
2996,TRUE,TRUE,TRUE,TRUE
3454,TRUE,TRUE,TRUE,TRUE
3775,TRUE,TRUE,TRUE,TRUE
2706,TRUE,TRUE,TRUE,TRUE
2859,FALSE,FALSE,FALSE,TRUE
3472,FALSE,FALSE,FALSE,TRUE
3777,TRUE,TRUE,FALSE,TRUE
2447,FALSE,FALSE,FALSE,FALSE
2585,TRUE,TRUE,FALSE,TRUE
3799,FALSE,TRUE,FALSE,FALSE
3803,FALSE,FALSE,FALSE,FALSE
3895,TRUE,TRUE,TRUE,TRUE
3898,FALSE,TRUE,TRUE,FALSE
4851,TRUE,TRUE,TRUE,TRUE
4859,FALSE,TRUE,TRUE,TRUE
4072,TRUE,TRUE,TRUE,TRUE
4076,TRUE,TRUE,TRUE,TRUE
4873,TRUE,TRUE,TRUE,TRUE
4877,TRUE,TRUE,TRUE,TRUE
5858,TRUE,TRUE,NA,NA
6035,TRUE,TRUE,NA,NA
7069,TRUE,TRUE,NA,NA
7071,TRUE,TRUE,NA,NA
5547,TRUE,TRUE,NA,NA
5880,TRUE,TRUE,NA,NA
6916,TRUE,TRUE,NA,NA
7088,TRUE,TRUE,NA,NA
5555,TRUE,TRUE,NA,NA
5887,FALSE,TRUE,NA,NA
6575,TRUE,TRUE,NA,NA
6754,TRUE,TRUE,NA,NA
433,FALSE,FALSE,FALSE,NA
571,TRUE,FALSE,FALSE,NA
786,FALSE,TRUE,FALSE,NA
958,FALSE,TRUE,FALSE,NA
7614,TRUE,TRUE,TRUE,TRUE
7970,TRUE,TRUE,TRUE,TRUE
8146,TRUE,TRUE,TRUE,TRUE
8647,TRUE,TRUE,TRUE,TRUE
7457,TRUE,TRUE,NA,NA
7464,TRUE,FALSE,NA,NA
8340,TRUE,TRUE,NA,NA
8668,TRUE,TRUE,NA,NA
7468,TRUE,FALSE,TRUE,NA
7648,FALSE,TRUE,FALSE,NA
8344,TRUE,FALSE,FALSE,NA
8684,NA,FALSE,FALSE,NA
8916,TRUE,TRUE,NA,NA
9499,TRUE,TRUE,NA,NA
10223,TRUE,TRUE,NA,NA
10232,FALSE,FALSE,NA,NA
9077,TRUE,TRUE,TRUE,NA
9374,TRUE,FALSE,TRUE,NA
9813,TRUE,TRUE,FALSE,NA
10104,FALSE,FALSE,TRUE,NA
10628,TRUE,TRUE,TRUE,NA
10634,TRUE,FALSE,TRUE,NA
10924,TRUE,TRUE,TRUE,NA
11004,TRUE,TRUE,TRUE,NA
1345,TRUE,TRUE,FALSE,FALSE
1596,TRUE,TRUE,FALSE,FALSE
1717,TRUE,TRUE,FALSE,FALSE
1850,TRUE,TRUE,FALSE,FALSE
1250,TRUE,TRUE,TRUE,TRUE
1485,TRUE,TRUE,TRUE,TRUE
1866,TRUE,TRUE,FALSE,TRUE
2007,TRUE,TRUE,TRUE,TRUE
