x_,y_,t_
4332995.879857384,3401199.9839981226,2024-08-11T16:00:10Z
4332992.73112621,3401139.8827399784,2024-08-11T17:00:37Z
4332978.187983047,3401146.5233525205,2024-08-11T18:00:12Z
4332977.59263141,3401120.926540383,2024-08-11T19:00:36Z
4333099.1435502265,3401356.0416243225,2024-08-11T20:00:11Z
4333141.336702513,3401380.630989764,2024-08-11T21:00:13Z
4333140.036236509,3401372.8378083077,2024-08-11T22:00:37Z
4333752.416921861,3401496.843244767,2024-08-11T23:00:09Z
4333782.947291199,3401437.9441586058,2024-08-12T00:00:36Z
4333742.05143854,3401423.368144178,2024-08-12T01:00:11Z
4333723.624635625,3401401.062293863,2024-08-12T02:00:11Z
4333648.1078117285,3401247.290071302,2024-08-12T03:00:38Z
4333495.963124428,3401104.446738022,2024-08-12T04:00:10Z
4333072.104382613,3401085.553167716,2024-08-12T05:00:38Z
4333059.402553109,3401146.7273464603,2024-08-12T06:00:13Z
4333062.649939402,3401167.879494568,2024-08-12T07:00:38Z
4333051.411009663,3401173.4153754655,2024-08-12T08:00:36Z
4332979.341958838,3401212.1838066797,2024-08-12T09:00:38Z
4332984.615659705,3401215.5355330342,2024-08-12T10:00:14Z
4332983.96386207,3401212.1953802374,2024-08-12T11:00:38Z
4332974.67771931,3401228.8647330394,2024-08-12T12:00:24Z
4332989.246037178,3401212.2086126264,2024-08-12T13:00:38Z
4332993.210495272,3401211.105707718,2024-08-12T14:00:36Z
4333009.068346222,3401206.6941209673,2024-08-12T15:00:11Z
4333027.584329167,3401195.6122268285,2024-08-12T17:00:12Z
4333017.762359232,3401163.315184511,2024-08-12T18:00:11Z
4332982.008463546,3401202.1749223717,2024-08-12T19:00:38Z
4333059.505703468,3401364.8442772967,2024-08-12T20:00:10Z
4333741.259050292,3401472.33102345,2024-08-12T21:00:11Z
4333776.209367807,3401488.003993147,2024-08-12T22:00:37Z
4333817.1498728795,3401485.887810352,2024-08-12T23:00:11Z
4333836.420701287,3401440.313002614,2024-08-13T00:00:26Z
4333804.0266903145,3401455.8059738246,2024-08-13T01:00:37Z
4333779.552707114,3401472.433152204,2024-08-13T02:00:10Z
4333747.834361056,3401482.3641040423,2024-08-13T03:00:13Z
4333452.075887368,3401471.569671752,2024-08-13T04:00:37Z
4333456.034364826,3401472.6928159767,2024-08-13T05:00:36Z
4333450.092245898,3401472.67735011,2024-08-13T06:00:11Z
4333451.40097676,3401477.1321176547,2024-08-13T07:00:11Z
4333454.705086611,3401476.0278769666,2024-08-13T08:01:30Z
4333449.41440324,3401479.35262913,2024-08-13T09:00:36Z
4333448.1174080325,3401470.4465308012,2024-08-13T10:00:36Z
4333436.922716014,3401459.289013909,2024-08-13T11:00:13Z
4333443.498690912,3401469.3216759735,2024-08-13T12:00:38Z
4333492.353202649,3401470.561824342,2024-08-13T13:00:10Z
4333485.164182973,3401442.7220472684,2024-08-13T14:00:38Z
4333493.081168856,3401444.9683937263,2024-08-13T15:00:14Z
4333492.426818833,3401442.741004215,2024-08-13T16:00:36Z
4333502.365776846,3401429.4128788034,2024-08-13T17:00:12Z
4333512.950286821,3401421.6506646317,2024-08-13T18:00:38Z
4333629.23037299,3401393.022322497,2024-08-13T19:00:36Z
4333884.731747873,3401640.754200142,2024-08-13T20:00:10Z
4334282.363539356,3401810.993429228,2024-08-13T21:00:25Z
