"sto","stunde.1","stunde.2","stunde.3","stunde.4"
4203,10,8,NA,NA
4358,9,8,NA,NA
4681,9,8,NA,NA
4849,9,8,NA,NA
1281,8,9,8,9
1394,9,9,9,9
1772,9,10,9,10
4244,8,8,10,9
4398,9,9,9,9
4721,9,9,9,8
412,9,8,8,NA
552,10,8,9,NA
770,10,7,10,NA
846,9,9,9,NA
2388,10,9,9,10
2666,11,11,10,11
3425,11,10,10,11
3431,10,10,9,10
2555,8,8,9,9
2996,8,8,9,9
3454,8,8,9,9
3775,9,9,10,10
2706,9,9,10,9
2859,10,11,12,11
3472,10,10,11,11
3777,9,10,11,10
2447,10,9,9,9
2585,10,9,9,9
3799,11,10,10,10
3803,11,9,10,9
3895,7,7,7,8
3898,8,7,7,8
4851,8,8,8,8
4859,9,9,9,9
4072,6,8,6,6
4076,7,9,6,6
4873,8,10,7,7
4877,8,9,7,7
5858,14,8,NA,NA
6035,14,8,NA,NA
7069,9,9,NA,NA
7071,9,9,NA,NA
5547,9,7,NA,NA
5880,9,7,NA,NA
6916,9,6,NA,NA
7088,9,6,NA,NA
5555,9,9,NA,NA
5887,9,10,NA,NA
6575,8,8,NA,NA
6754,8,9,NA,NA
433,10,10,8,NA
571,10,10,8,NA
786,11,7,9,NA
958,9,9,7,NA
7614,10,10,10,10
7970,10,10,10,10
8146,11,11,11,11
8647,12,12,12,12
7457,8,8,NA,NA
7464,9,8,NA,NA
8340,9,9,NA,NA
8668,10,9,NA,NA
7468,10,8,9,NA
7648,8,10,11,NA
8344,9,9,9,NA
8684,NA,9,10,NA
8916,7,7,NA,NA
9499,8,7,NA,NA
10223,8,7,NA,NA
10232,9,7,NA,NA
9077,8,8,8,NA
9374,9,9,9,NA
9813,8,9,9,NA
10104,8,9,8,NA
10628,7,7,7,NA
10634,8,8,8,NA
10924,7,7,7,NA
11004,7,8,7,NA
1345,7,9,7,8
1596,6,8,7,8
1717,7,9,8,9
1850,6,8,7,8
1250,9,8,9,7
1485,10,8,9,8
1866,10,9,9,9
2007,11,9,9,10
