"sto","tag.1","tag.2","tag.3","tag.4"
4203,21,30,NA,NA
4358,21,30,NA,NA
4681,21,30,NA,NA
4849,21,30,NA,NA
1281,18,22,27,33
1394,18,22,27,33
1772,18,22,27,33
4244,18,18,25,32
4398,14,18,25,32
4721,14,18,25,32
412,20,30,37,NA
552,20,30,37,NA
770,20,30,37,NA
846,20,30,37,NA
2388,13,18,24,29
2666,13,18,24,29
3425,13,18,24,29
3431,13,18,24,29
2555,6,18,24,32
2996,6,18,24,32
3454,6,18,24,32
3775,6,18,24,32
2706,7,20,29,34
2859,7,20,29,34
3472,7,20,29,34
3777,7,20,29,34
2447,13,18,23,29
2585,13,18,23,29
3799,13,18,23,29
3803,13,18,23,29
3895,10,17,24,31
3898,10,17,24,31
4851,10,17,24,31
4859,10,17,24,31
4072,7,12,18,24
4076,7,12,18,24
4873,7,12,18,24
4877,7,12,18,24
5858,14,30,NA,NA
6035,14,30,NA,NA
7069,15,30,NA,NA
7071,15,30,NA,NA
5547,11,29,NA,NA
5880,11,29,NA,NA
6916,11,29,NA,NA
7088,11,29,NA,NA
5555,19,34,NA,NA
5887,19,34,NA,NA
6575,19,34,NA,NA
6754,19,34,NA,NA
433,7,14,33,NA
571,7,14,33,NA
786,7,243,33,NA
958,7,14,33,NA
7614,13,18,23,28
7970,13,18,23,28
8146,13,18,23,28
8647,13,18,23,28
7457,12,19,NA,NA
7464,12,19,NA,NA
8340,12,19,NA,NA
8668,12,19,NA,NA
7468,27,32,36,NA
7648,27,32,36,NA
8344,27,32,36,NA
8684,NA,32,36,NA
8916,127,51,NA,NA
9499,127,127,NA,NA
10223,127,127,NA,NA
10232,127,127,NA,NA
9077,19,23,30,NA
9374,19,23,30,NA
9813,19,23,30,NA
10104,19,23,30,NA
10628,19,27,34,NA
10634,19,27,34,NA
10924,19,27,34,NA
11004,19,27,34,NA
1345,12,18,26,33
1596,12,18,26,33
1717,12,18,26,33
1850,12,18,26,33
1250,10,19,23,27
1485,10,19,23,27
1866,10,19,23,27
2007,10,19,23,27
